"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2019","559.56","548.51","563.74","544.27","","2.12%"
"01/01/2019","547.94","517.65","549.78","513.47","","4.99%"
"12/01/2018","521.88","575.99","578.84","496.77","","-9.46%"
"11/01/2018","576.42","566.12","585.95","556.88","","1.72%"
"10/01/2018","566.68","555.95","572.14","534.47","","2.12%"
"09/01/2018","554.91","550.49","567.81","548.89","","0.62%"
"08/01/2018","551.48","548.55","566.91","543.73","","0.34%"
"07/01/2018","549.60","527.59","551.62","522.79","","3.88%"
"06/01/2018","529.08","508.82","534.26","506.57","","4.15%"
"05/01/2018","508.01","514.44","517.47","500.20","","-1.79%"
"04/01/2018","517.25","540.27","550.46","510.00","","-4.52%"
"03/01/2018","541.73","548.04","563.80","522.83","","-1.32%"
"02/01/2018","548.98","594.14","596.43","541.99","","-7.84%"
"01/01/2018","595.65","588.46","606.90","581.40","","1.41%"
"12/01/2017","587.39","576.08","592.57","569.05","","1.97%"
"11/01/2017","576.07","547.08","577.57","540.27","","5.40%"
"10/01/2017","546.55","555.68","563.77","541.66","","-1.59%"
"09/01/2017","555.39","562.68","571.65","552.86","","-1.14%"
"08/01/2017","561.81","570.01","574.92","558.36","","-1.27%"
"07/01/2017","569.04","568.23","575.37","555.50","","0.39%"
"06/01/2017","566.83","581.97","588.43","563.80","","-2.53%"
"05/01/2017","581.55","566.67","583.05","559.47","","2.65%"
"04/01/2017","566.54","562.28","573.02","559.82","","0.85%"
"03/01/2017","561.79","566.55","569.99","560.48","","-0.71%"
"02/01/2017","565.79","537.84","567.63","535.44","","4.87%"
"01/01/2017","539.51","533.33","544.88","527.82","","1.45%"
"12/01/2016","531.79","515.36","538.48","511.00","","2.90%"
"11/01/2016","516.81","541.44","542.17","514.53","","-4.52%"
"10/01/2016","541.27","545.75","545.75","531.09","","-0.96%"
"09/01/2016","546.54","555.93","561.74","538.14","","-1.75%"
"08/01/2016","556.26","559.81","564.55","553.92","","-0.67%"
"07/01/2016","560.03","565.10","574.63","553.25","","-0.88%"
"06/01/2016","564.99","538.87","565.02","538.87","","4.81%"
"05/01/2016","539.07","535.87","553.35","528.95","","0.64%"
"04/01/2016","535.63","542.99","550.81","527.73","","-1.46%"
"03/01/2016","543.56","522.33","546.51","522.33","","4.32%"
"02/01/2016","521.06","519.99","531.30","501.04","","0.06%"
"01/01/2016","520.74","516.81","520.98","485.84","","0.45%"
"12/01/2015","518.42","506.55","526.54","502.14","","2.51%"
"11/01/2015","505.71","512.61","515.01","490.11","","-1.27%"
"10/01/2015","512.23","485.08","523.97","479.32","","5.63%"
"09/01/2015","484.91","483.78","496.14","471.56","","0.13%"
"08/01/2015","484.29","515.20","522.68","455.26","","-6.00%"
"07/01/2015","515.20","489.64","517.54","489.64","","5.30%"
"06/01/2015","489.27","500.24","504.33","485.79","","-2.16%"
