"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2017","717.47","714.05","719.85","706.62","","0.75%"
"08/01/2017","712.13","729.16","729.71","698.80","","-2.00%"
"07/01/2017","726.65","716.26","736.32","703.02","","1.76%"
"06/01/2017","714.06","725.55","733.67","704.65","","-1.34%"
"05/01/2017","723.76","718.21","723.89","701.07","","0.98%"
"04/01/2017","716.73","700.64","722.28","689.30","","2.36%"
"03/01/2017","700.24","693.34","702.08","682.09","","1.90%"
"02/01/2017","687.21","675.54","694.58","669.10","","1.82%"
"01/01/2017","674.91","653.13","681.61","648.00","","4.18%"
"12/01/2016","647.82","648.11","670.64","644.79","","-0.11%"
"11/01/2016","648.55","621.75","659.09","608.25","","4.52%"
"10/01/2016","620.52","634.33","638.28","616.90","","-2.43%"
"09/01/2016","635.96","639.47","643.21","618.08","","-0.42%"
"08/01/2016","638.63","647.92","653.59","635.58","","-1.42%"
"07/01/2016","647.81","620.99","651.13","617.63","","4.42%"
"06/01/2016","620.41","628.02","631.98","589.71","","-1.33%"
"05/01/2016","628.78","629.43","639.31","608.29","","0.00%"
"04/01/2016","628.76","627.43","638.94","613.73","","0.05%"
"03/01/2016","628.44","591.57","630.72","591.57","","6.48%"
"02/01/2016","590.19","588.07","597.72","536.34","","0.24%"
"01/01/2016","588.78","618.96","618.96","547.22","","-5.19%"
"12/01/2015","621.02","641.06","646.76","611.27","","-2.97%"
"11/01/2015","640.02","642.90","649.46","612.66","","-0.36%"
"10/01/2015","642.34","589.57","646.53","583.94","","8.99%"
"09/01/2015","589.37","590.67","617.72","570.40","","-0.79%"
"08/01/2015","594.07","636.12","637.95","552.15","","-6.56%"
"07/01/2015","635.81","608.22","638.53","604.12","","4.71%"
"06/01/2015","607.21","604.62","621.57","597.22","","0.46%"
"05/01/2015","604.41","598.17","612.41","595.13","","1.19%"
"04/01/2015","597.30","598.02","617.60","591.55","","-0.09%"
"03/01/2015","597.86","601.86","612.25","587.23","","-0.64%"
"02/01/2015","601.70","554.98","606.32","547.80","","8.46%"
"01/01/2015","554.79","573.36","576.42","543.37","","-3.14%"
"12/01/2014","572.75","567.31","578.97","541.02","","0.75%"
"11/01/2014","568.46","540.53","569.61","530.66","","5.28%"
"10/01/2014","539.95","528.30","541.37","490.29","","2.09%"
"09/01/2014","528.90","545.32","548.47","528.20","","-2.92%"
"08/01/2014","544.81","521.96","546.84","516.60","","4.33%"
"07/01/2014","522.18","530.45","540.21","522.16","","-1.37%"
"06/01/2014","529.43","520.35","531.97","517.18","","1.83%"
"05/01/2014","519.94","506.99","520.03","496.40","","2.73%"
"04/01/2014","506.11","514.71","524.92","490.48","","-1.41%"
"03/01/2014","513.36","526.68","536.41","504.05","","-2.93%"
"02/01/2014","528.83","498.57","531.02","483.94","","6.09%"
"01/01/2014","498.48","529.42","530.09","495.63","","-5.97%"
"12/01/2013","530.10","519.64","530.18","506.82","","2.11%"
"11/01/2013","519.14","503.66","521.23","493.40","","3.33%"
"10/01/2013","502.39","480.52","505.59","463.41","","4.60%"
"09/01/2013","480.30","459.27","487.99","457.80","","5.29%"
"08/01/2013","456.18","472.24","481.34","453.84","","-3.00%"
"07/01/2013","470.27","448.54","474.67","448.31","","5.14%"
"06/01/2013","447.29","444.03","453.47","427.91","","0.75%"
