"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2017","202.98","202.38","203.56","196.43","","0.86%"
"07/01/2017","201.24","199.73","202.38","192.80","","1.12%"
"06/01/2017","199.01","196.28","203.18","195.42","","1.41%"
"05/01/2017","196.25","195.76","199.23","192.27","","0.45%"
"04/01/2017","195.37","195.40","201.27","194.44","","-0.02%"
"03/01/2017","195.41","198.04","198.89","188.28","","-1.51%"
"02/01/2017","198.40","190.20","199.66","187.78","","4.43%"
"01/01/2017","189.99","191.29","195.20","187.86","","-0.13%"
"12/01/2016","190.23","182.66","192.14","179.69","","3.80%"
"11/01/2016","183.27","189.30","189.30","177.96","","-3.33%"
"10/01/2016","189.58","200.25","200.25","186.00","","-5.59%"
"09/01/2016","200.81","204.48","208.52","194.63","","-1.82%"
"08/01/2016","204.53","212.62","213.74","201.56","","-3.81%"
"07/01/2016","212.64","206.99","213.72","204.74","","2.85%"
"06/01/2016","206.74","194.61","206.75","193.63","","5.91%"
"05/01/2016","195.20","193.02","202.34","189.51","","1.32%"
"04/01/2016","192.65","196.84","198.31","190.86","","-2.29%"
"03/01/2016","197.16","179.72","197.40","179.72","","10.12%"
"02/01/2016","179.04","180.68","183.13","164.66","","-1.32%"
"01/01/2016","181.44","189.02","192.10","171.64","","-4.62%"
"12/01/2015","190.22","187.50","193.07","182.08","","1.64%"
"11/01/2015","187.15","189.08","193.39","179.65","","-0.95%"
"10/01/2015","188.95","176.86","192.36","175.78","","6.89%"
"09/01/2015","176.77","172.66","180.43","168.02","","1.77%"
"08/01/2015","173.69","183.59","189.51","169.27","","-5.41%"
"07/01/2015","183.62","174.47","185.12","174.01","","5.40%"
"06/01/2015","174.21","182.95","185.18","173.66","","-4.67%"
"05/01/2015","182.74","184.20","188.29","180.17","","-0.65%"
"04/01/2015","183.94","193.12","197.32","182.94","","-4.81%"
"03/01/2015","193.24","192.81","199.73","185.90","","0.30%"
"02/01/2015","192.67","198.84","202.12","190.61","","-3.07%"
"01/01/2015","198.78","188.31","205.56","188.31","","5.80%"
"12/01/2014","187.89","186.96","192.71","182.57","","0.43%"
"11/01/2014","187.08","181.15","188.83","180.54","","3.23%"
"10/01/2014","181.23","166.43","181.40","165.40","","8.83%"
"09/01/2014","166.52","176.09","178.07","164.84","","-5.38%"
"08/01/2014","175.99","170.24","177.17","168.95","","3.24%"
"07/01/2014","170.46","169.93","174.23","168.30","","0.39%"
