"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2010","215.50","202.21","217.79","200.90","2.82B","6.57%"
"09/01/2010","202.21","188.04","206.20","188.04","2.81B","7.53%"
"08/01/2010","188.05","193.56","199.14","181.01","3.01B","-2.85%"
"07/01/2010","193.56","172.46","196.44","168.47","3.20B","12.23%"
"06/01/2010","172.46","185.64","193.12","172.13","3.44B","-7.10%"
"05/01/2010","185.64","205.47","206.85","174.52","4.48B","-9.65%"
"04/01/2010","205.47","204.62","213.85","203.65","3.46B","0.42%"
"03/01/2010","204.62","190.20","207.54","190.20","3.58B","7.58%"
"02/01/2010","190.20","182.50","195.86","178.29","3.40B","4.22%"
"01/01/2010","182.50","199.81","213.41","182.32","3.42B","-8.66%"
"12/01/2009","199.81","197.04","203.83","191.98","2.53B","1.41%"
"11/01/2009","197.04","176.96","201.23","175.05","2.47B","11.35%"
"10/01/2009","176.96","186.92","197.01","175.80","3.40B","-5.33%"
"09/01/2009","186.92","178.47","196.87","171.90","2.95B","4.73%"
"08/01/2009","178.47","175.04","184.31","171.33","3.00B","1.96%"
"07/01/2009","175.04","154.48","176.79","142.94","3.56B","13.31%"
"06/01/2009","154.48","162.43","171.73","147.80","3.94B","-4.89%"
"05/01/2009","162.43","153.89","167.50","151.37","3.59B","5.55%"
"04/01/2009","153.89","133.62","155.15","130.59","3.83B","15.09%"
"03/01/2009","133.71","116.34","142.24","107.17","5.28B","14.93%"
"02/01/2009","116.34","127.63","139.19","114.60","3.70B","-8.85%"
"01/01/2009","127.63","137.59","147.49","126.70","3.73B","-7.24%"
"12/01/2008","137.59","138.64","148.60","121.24","3.32B","-0.76%"
"11/01/2008","138.64","156.16","164.10","111.55","3.28B","-11.22%"
"10/01/2008","156.16","200.58","200.87","129.65","5.09B","-22.18%"
"09/01/2008","200.66","242.46","242.72","192.04","3.39B","-17.24%"
"08/01/2008","242.46","249.49","249.73","231.63","2.02B","-2.82%"
"07/01/2008","249.49","260.26","260.26","236.67","3.00B","-4.17%"
"06/01/2008","260.34","276.15","282.57","258.10","2.02B","-5.73%"
"05/01/2008","276.15","263.97","289.01","257.01","1.94B","4.61%"
